"","lon","lat","adr"
"De Lijn1",50.8811665,4.7146926,"De Lijn, Martelarenplein, Leuven, Belgium"
"De Lijn2",51.20454,4.43521,"De Lijn, Pretoriastraat, Antwerp, Belgium"
"De Lijn3",50.9378101,4.0409517,"De Lijn winkel, Aalst, Belgium"
"De Lijn4",51.1382997,4.1512076,"Stelplaats De Lijn Sint-Niklaas, Industriepark-west, Sint-Niklaas, Belgium"
"De Lijn5",51.0144121,4.4919669,"De Lijn Centrale Diensten, Motstraat, Mechelen, Belgium"
"Deceuninck1",39.4522687,-84.3371234,"Deceuninck North America Llc, North Garver Road, Monroe, OH, United States"
"Deceuninck2",39.6169857,-119.1961332,"Deceuninck North America, Nevada Pacific Boulevard, Fernley, NV, United States"
"Deceuninck3",51.4516342,-1.9979433,"Deceuninck, Stanier Road, Calne, United Kingdom"
"Deceuninck4",44.4267674,26.1025384,"Deceuninck Romania, Bucharest, Romania"
"Deceuninck5",51.43933,-2.003884,"Deceuninck, Calne, United Kingdom"
"DEME1",41.9642005,-87.6566714,"Demera Ethiopian Restaurant, North Broadway Street, Chicago, IL, United States"
"DEME2",40.5670263,-74.5016291,"Demented Brewing Company, Lincoln Boulevard, Middlesex, NJ, United States"
"DEME3",34.7465882,-120.11741,"Demetria Estate Wines, Foxen Canyon Road, Los Olivos, CA, United States"
"DEME4",29.7418172,-95.4107419,"Demeris Bar-B-Q, South Shepherd Drive, Houston, TX, United States"
"DEME5",29.7811603,-95.4532417,"Demeris Barbecue, West Loop North Freeway, Houston, TX, United States"
"D'Ieteren1",50.8224611,4.3615857,"Audi D'Ieteren Mail, Rue Américaine, Ixelles, Belgium"
"D'Ieteren2",50.9409683,4.615932,"D'Ieteren sa, Leuvensesteenweg, Erps-Kwerps, Belgium"
"D'Ieteren3",50.8217065,4.3591373,"My Way D'Ieteren Mail, Rue du Mail, Ixelles, Belgium"
"D'Ieteren4",50.8719709,4.4745646,"D'Ieteren Zaventem (Audi), Leuvensesteenweg, Zaventem, Belgium"
"D'Ieteren5",50.8486733,4.4659358,"VW - Volkswagen D'Ieteren Stokkel, Avenue Reine Astrid, Kraainem, Belgium"
"DOMO Group1",60.3604877,25.035501,"Domo Group Oy, Repolavägen, Vantaa, Finland"
"DOMO Group2",45.4438896,11.9843835,"Domo Group Italia Srl, Vigonza, Province of Padua, Italy"
"DOMO Group3",43.543667,7.040922,"Domo Groupe, Rue du Cros Vieil, Cannes, France"
"DOMO Group4",NA,NA,"DOMO GROUP Α.Ε.&Τ.Ε., Σπάτα Λούτσα, Ανατολική Αττική, Ελλάδα"
"DOMO Group5",42.750291,13.9675851,"Domo Group S.R.L., Via Caltanissetta, Giulianova, Province of Teramo, Italy"
"East-West Group1",13.0734129,77.5554935,"East West Group of Institutions, BEL Layout, Bengaluru, Karnataka, India"
"East-West Group2",1.497302,103.7133079,"East West Group Of Companies Bandar Baru Uda Johor Bahru Johor Malaysia"
"East-West Group3",15.3647083,75.1239547,"East-West Group, Hubballi, Karnataka, India"
"East-West Group4",54.6716779,25.2988929,"East West Group, Ramybės gatvė, Vilnius, Lithuania"
"East-West Group5",28.6898261,77.1183137,"East West Group, नई दिल्ली, दिल्ली, भारत"
"Gent Tram",51.0499429,3.7614474,"Tram 3, Scaldisstraat, Ghent, Belgium"
